"","X","x"
"1",1,"https://www.cancer.org/toolbarArea"
"2",7,"https://www.cancer.org/latest-news.html"
"3",9,"https://www.cancer.org/es/"
"4",10,"https://www.cancer.org/cancer-information-in-other-languages.html"
"5",11,"https://donate.cancer.org/index?lang=en"
"6",12,"https://donate.cancer.org/index?lang=en"
"7",13,"https://www.cancer.org/cancer.html"
"8",14,"https://www.cancer.org/healthy.html"
"9",15,"https://www.cancer.org/treatment.html"
"10",16,"https://www.cancer.org/research.html"
"11",17,"https://www.cancer.org/involved.html"
"12",18,"https://www.cancer.org/our-partners.html"
"13",19,"https://www.cancer.org/about-us.html"
"14",20,"https://www.cancer.org/latest-news.html"
"15",21,"https://donate.cancer.org/index?lang=en"
"16",25,"https://donate.cancer.org/?campaign=EOYCampaign2018&lang=en"
"17",26,"https://www.cancer.org/latest-news.html"
"18",27,"https://www.cancer.org/latest-news/nurture-your-emotional-health.html"
"19",28,"https://www.cancer.org/latest-news/can-coffee-lower-cancer-risk.html"
"20",29,"https://www.cancer.org/our-brand.html"
"21",30,"https://donate3.cancer.org/?campaign=CY17MemPod&giftType=mem&giftTypeMonthlyDisplay=0"
"22",31,"https://www.cancer.org/our-brand.html"
"23",32,"https://www.cancer.org/cancer.html"
"24",33,"https://www.cancer.org/treatment.html"
"25",34,"https://www.cancer.org/healthy.html"
"26",35,"https://www.cancer.org/research.html"
"27",36,"https://www.cancer.org/involved/volunteer/volunteer-stories.html"
"28",37,"https://www.cancer.org/about-us.html"
"29",38,"https://www.cancer.org/treatment/support-programs-and-services/road-to-recovery.html"
"30",39,"https://www.cancer.org/about-us/what-we-do/providing-support.html"
"31",40,"https://www.cancer.org/treatment/support-programs-and-services/patient-lodging/hope-lodge.html"
"32",46,"https://www.cancer.org/involved/fundraise/relay-for-life.html"
"33",47,"https://www.cancer.org/involved/fundraise/relay-for-life.html"
"34",48,"https://www.cancer.org/involved/fundraise/making-strides-against-breast-cancer.html"
"35",49,"https://www.cancer.org/involved/fundraise/making-strides-against-breast-cancer.html"
"36",50,"https://www.cancer.org/involved/volunteer.html"
"37",51,"https://www.cancer.org/involved/volunteer.html"
"38",52,"https://www.cancer.org/research.html"
"39",53,"https://www.cancer.org/research.html"
"40",54,"https://www.cancer.org/research.html"
"41",55,"https://www.cancer.org/treatment/support-programs-and-services/road-to-recovery.html"
"42",56,"https://www.cancer.org/healthy/more-ways-acs-helps-you-stay-well.html"
"43",57,"https://www.cancer.org/healthy/more-ways-acs-helps-you-stay-well.html"
"44",58,"https://www.cancer.org/health-care-professionals/community-health.html"
"45",59,"https://www.cancer.org/health-care-professionals/community-health.html"
"46",60,"https://www.cancer.org/health-care-professionals/community-health.html"
"47",61,"https://www.cancer.org/about-us/who-we-are/our-history.html"
"48",62,"https://www.cancer.org/about-us/who-we-are/our-history.html"
"49",63,"https://www.cancer.org/about-us/who-we-are/our-history.html"
"50",64,"https://www.cancer.org/about-us/policies/privacy-statement.html"
"51",65,"https://donate3.cancer.org/?lang=en"
"52",66,"https://www.cancer.org/healthy.html"
"53",67,"https://www.cancer.org/cancer/cancer-basics.html"
"54",68,"https://www.cancer.org/cancer/cancer-basics/signs-and-symptoms-of-cancer.html"
"55",69,"https://www.cancer.org/treatment/treatments-and-side-effects.html"
"56",70,"https://www.cancer.org/research/cancer-facts-statistics.html"
"57",71,"https://www.cancer.org/latest-news.html"
"58",72,"https://www.cancer.org/cancer/glossary.html"
"59",73,"https://www.cancer.org/health-care-professionals.html"
"60",74,"https://www.cancer.org/treatment/support-programs-and-services/reach-to-recovery.html"
"61",76,"https://www.cancer.org/treatment/support-programs-and-services/patient-lodging/hope-lodge.html"
"62",77,"https://www.cancer.org/treatment/support-programs-and-services/road-to-recovery.html"
"63",78,"https://www.cancer.org/treatment/support-programs-and-services/online-communities.html"
"64",79,"https://www.cancer.org/treatment/support-programs-and-services/look-good-feel-better.html"
"65",83,"https://www.cancer.org/involved/fundraise/coaches-vs-cancer.html"
"66",84,"https://www.cancer.org/involved/fundraise/galas.html"
"67",85,"https://www.cancer.org/involved/donate.html"
"68",86,"https://www.cancer.org/involved/donate/memorial-giving.html"
"69",87,"https://www.cancer.org/involved/donate/planned-giving.html"
"70",88,"https://www.cancer.org/involved/donate/leadership-giving.html"
"71",89,"https://www.cancer.org/involved/donate/more-ways-to-give/cars-for-a-cure.html"
"72",90,"https://www.cancer.org/about-us/online-help/contact-us.html"
"73",91,"https://www.cancer.org/about-us/local.html"
"74",92,"https://www.cancer.org/about-us/employment-opportunities.html"
"75",93,"https://www.cancer.org/about-us/become-a-supplier.html"
"76",94,"https://www.cancer.org/about-us/financial-governance-information/report-fraud-or-abuse.html"
"77",95,"https://www.cancer.org/health-care-professionals/our-global-health-work.html"
"78",97,"https://www.cancer.org/about-us/email-and-enewsletter-sign-up/enewsletter-sign-up.html"
"79",98,"https://www.cancer.org/about-us/policies.html"
"80",99,"https://www.cancer.org/involved/volunteer.html"
"81",100,"https://www.cancer.org/american-cancer-society-books.html"
"82",101,"http://shop.cancer.org/"
"83",102,"http://canceratlas.cancer.org/"
"84",103,"http://pressroom.cancer.org/"
"85",104,"http://cancerstatisticscenter.cancer.org"
"86",105,"https://volunteerlearning.cancer.org/"
"87",114,"https://www.cancer.org/about-us/online-help.html"
"88",115,"https://www.cancer.org/sitemap.html"
"89",116,"https://www.cancer.org/about-us/policies/privacy-statement.html"
"90",117,"https://www.cancer.org/about-us/policies/accessibility-policy.html"
"91",118,"https://www.cancer.org/about-us/policies/user-agreement.html"
"92",119,"https://www.cancer.org/about-us/policies/state-fundraising-notices.html"
"93",123,"https://www.cancer.org/modalCarousel"
"94",124,"https://www.cancer.org/modalCarousel"
"95",128,"https://www.cancer.org/50"
"96",129,"https://www.cancer.org/75"
"97",130,"https://www.cancer.org/125"
"98",131,"https://donate3.cancer.org/?campaign=eoycampaign2018"
